tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
800x800,conjunto 28,8,864543,777,"778,00"
800x800,conjunto 28,9,796836,777,"778,00"
800x800,conjunto 28,10,849000,777,"778,00"
800x800,conjunto 30,1,861236,781,"781,20"
800x800,conjunto 30,2,952231,780,"781,20"
800x800,conjunto 30,3,914112,780,"781,20"
800x800,conjunto 30,4,885670,780,"781,20"
800x800,conjunto 30,5,947763,780,"781,20"
800x800,conjunto 30,6,482588,781,"781,20"
800x800,conjunto 30,7,952007,780,"781,20"
800x800,conjunto 30,8,901129,779,"781,20"
800x800,conjunto 30,9,900505,780,"781,20"
800x800,conjunto 30,10,902874,781,"781,20"
800x800,conjunto 34,1,1011294,784,"785,30"
800x800,conjunto 34,2,499885,783,"785,30"
800x800,conjunto 34,3,1057602,786,"785,30"
800x800,conjunto 34,4,980159,784,"785,30"
800x800,conjunto 34,5,500533,786,"785,30"
800x800,conjunto 34,6,960617,785,"785,30"
800x800,conjunto 34,7,1022913,785,"785,30"
800x800,conjunto 34,8,999118,785,"785,30"
800x800,conjunto 34,9,965856,785,"785,30"
800x800,conjunto 34,10,1016120,785,"785,30"
800x800,conjunto 38,1,1108596,789,"788,90"
800x800,conjunto 38,2,1111477,787,"788,90"
800x800,conjunto 38,3,1119973,788,"788,90"
800x800,conjunto 38,4,1147430,787,"788,90"
800x800,conjunto 38,5,1061316,787,"788,90"
800x800,conjunto 38,6,1026643,788,"788,90"
800x800,conjunto 38,7,1044325,787,"788,90"
800x800,conjunto 38,8,1060740,788,"788,90"
800x800,conjunto 38,9,1031770,787,"788,90"
800x800,conjunto 38,10,1071792,788,"788,90"
800x800,conjunto 40,1,1155832,789,"789,80"
800x800,conjunto 40,2,1155251,789,"789,80"
800x800,conjunto 40,3,1224047,790,"789,80"
800x800,conjunto 40,4,1176009,790,"789,80"
800x800,conjunto 40,5,1151556,789,"789,80"
800x800,conjunto 40,6,1153469,790,"789,80"
800x800,conjunto 40,7,1115702,790,"789,80"
800x800,conjunto 40,8,659661,790,"789,80"
800x800,conjunto 40,9,1137812,789,"789,80"
800x800,conjunto 40,10,1158174,789,"789,80"
